shoulder_pitch_joint,shoulder_roll_joint,shoulder_yaw_joint,elbow_pitch_joint,torque_shoulder_pitch_joint,torque_shoulder_roll_joint,torque_shoulder_yaw_joint,torque_elbow_pitch_joint
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,-0.7853981633974483,2.8421709430404007e-12,1.4424017535930034e-12,-3.019806626980426e-14,9.947598300641403e-14
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,-0.6108652381980153,-1.7621459846850485e-12,-1.0516032489249483e-12,1.509903313490213e-14,-1.8829382497642655e-13
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,-0.4363323129985824,1.7138290786533616e-11,7.194245199571014e-13,-1.9115264926483633e-13,-1.7408297026122455e-13
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,-0.26179938779914946,2.5579538487363607e-13,-1.0089706847793423e-12,-2.6645352591003757e-14,3.339550858072471e-13
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,-0.08726646259971649,2.0179413695586845e-12,-5.968558980384842e-13,3.552713678800501e-15,0.0
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,0.08726646259971649,2.0463630789890885e-12,-1.7053025658242404e-13,6.750155989720952e-14,-2.984279490192421e-13
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,0.26179938779914935,2.9558577807620168e-12,-1.5205614545266144e-12,0.0,1.4210854715202004e-14
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,0.43633231299858233,-5.6274984672199935e-12,-1.879385536085465e-12,1.726951914804431e-13,-1.1857181902996672e-13
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,0.6108652381980153,-1.7337242752546445e-12,-1.4921397450962104e-12,7.283063041541027e-14,1.3500311979441904e-13
-1.5707963267948966,-1.5707963267948966,-0.8726646259971648,0.7853981633974483,4.263256414560601e-13,2.5721647034515627e-12,-2.859934511434403e-13,-4.263256414560601e-14
-1.5707963267948966,-1.5707963267948966,-0.5235987755982989,-0.7853981633974483,-8.29913915367797e-12,-1.2789769243681803e-13,-5.3290705182007514e-14,2.4158453015843406e-13
